Li2O,B2O3,Na2O,MgO,Al2O3,SiO2,P2O5,K2O,CaO,TiO2,Fe2O3,ZnO,SrO,Y2O3,ZrO,SnO2,BaO,YoungModulus
0,0,20,0,0,60,0,0,0,0,0,0,20,0,0,0,0,74.2
0,0,20,0,0,60,0,0,20,0,0,0,0,0,0,0,0,78.55
0,0,25,0,25,50,0,0,0,0,0,0,0,0,0,0,0,71.35
0,0,28.57035715,0,0,71.42964285,0,0,0,0,0,0,0,0,0,0,0,55.7
0,0,14.9693389,0,0,55.03038109,0,5.020580741,19.98991964,4.989779632,0,0,0,0,0,0,0,73
0,0,9.95981349,0,0,60.06132994,0,10.02002324,9.969615078,0,0,0,0,0,0,0,9.989218253,72
0,0,23.50018199,7.200392461,12.0001266,56.99862322,0,0,0.300675729,0,0,0,0,0,0,0,0,72.5
0,0,10.0007125,6.999643748,0,62.99964375,0,12,8,0,0,0,0,0,0,0,0,69.9
0,0,0,0,28.30001949,15.00097467,0,0,56.69900583,0,0,0,0,0,0,0,0,110
0,0,0,0,36.0002544,10.00095399,0,0,53.99879162,0,0,0,0,0,0,0,0,109
0,0,24.57971014,0,25.67061924,49.74967062,0,0,0,0,0,0,0,0,0,0,0,73.5
0,0,0,0,0,42.000406,6.000058,18.000174,33.999362,0,0,0,0,0,0,0,0,69.5
0,0,17.15993881,0,6.100340295,66.51056789,0,10.22915301,0,0,0,0,0,0,0,0,0,58.9
0,0,27.25009005,0,6.610495983,66.13941397,0,0,0,0,0,0,0,0,0,0,0,61
0,0,56.000936,0,3.999063999,0,40,0,0,0,0,0,0,0,0,0,0,39.8
0,0,3.409559126,4.95811015,41.65808268,0,0,1.649842055,30.0473836,4.95811015,0,0,0,0,8.360802088,0,4.95811015,115
0,0,0,0,0,59.00037476,0,18.6003581,0,0,0,0,22.39926715,0,0,0,0,60.9
0,0,4.999690996,0,7.000494407,62.9998146,0,20.000309,0,0,0,0,0,0,0,0,4.999690996,63
0,0,11.00032449,5.000147497,4.000117998,59.99882002,0,11.00032449,0,0,0,0,5.000147497,0,1.000029499,0,3.000088498,70
0,0,21.0007452,12.50077625,11.49941005,54.9990685,0,0,0,0,0,0,0,0,0,0,0,74.4
0,0,28.00036,0,0,71.99964,0,0,0,0,0,0,0,0,0,0,0,60.3
0,0,10.000143,4.99935649,2.000600609,60.00085801,0,10.000143,1.999170587,0,0,0,9.000557709,0,0,0,1.999170587,72
0,0,0,0,0,66.45729739,0,23.83320248,9.709500131,0,0,0,0,0,0,0,0,58.9
0,0,25.000425,0,20.00068001,54.99889499,0,0,0,0,0,0,0,0,0,0,0,70.9
0,0,25.60014599,0,15.89992866,58.49992534,0,0,0,0,0,0,0,0,0,0,0,70.9
