Li2O,B2O3,Na2O,MgO,Al2O3,SiO2,P2O5,K2O,CaO,TiO2,Fe2O3,ZnO,SrO,Y2O3,ZrO,SnO2,BaO,Tliquidus
0,0,0,0,0,46.40092266,0,41.93036834,11.668709,0,0,0,0,0,0,0,0,1338.15
0,0,0,0,0,52.400738,0,47.599262,0,0,0,0,0,0,0,0,0,1067.15
0,0,47.36005192,0,12.26026286,40.37968522,0,0,0,0,0,0,0,0,0,0,0,1488.15
0,0,44.97000427,0,0,49.82975399,0,0,5.200241735,0,0,0,0,0,0,0,0,1250.15
0,0,47.5002625,0,0,0,0,0,0,52.4997375,0,0,0,0,0,0,0,1296.15
0,0,37.86015731,0,0,42.55008903,0,0,19.58975366,0,0,0,0,0,0,0,0,1440.15
0,0,47.20980322,0,13.16940247,39.62079431,0,0,0,0,0,0,0,0,0,0,0,1573.15
0,0,60.73930541,0,0,0,22.38038456,0,16.88031003,0,0,0,0,0,0,0,0,1965.15
0,0,47.400474,0,0,52.599526,0,0,0,0,0,0,0,0,0,0,0,1362.15
0,0,47.2992635,0,0,52.7007365,0,0,0,0,0,0,0,0,0,0,0,1344.15
0,0,46.94038301,0,14.09934525,38.96027175,0,0,0,0,0,0,0,0,0,0,0,1648.15
0,0,44.24889359,5.931219032,0,49.81988737,0,0,0,0,0,0,0,0,0,0,0,1195.15
0,0,0,0,0,49.86108865,0,44.12970939,6.009201958,0,0,0,0,0,0,0,0,1238.15
0,0,45.999592,0,54.000408,0,0,0,0,0,0,0,0,0,0,0,0,1836.15
0,0,46.999694,0,0,50,0,0,0,0,0,0,0,3.000305998,0,0,0,1481.15
0,0,73.0002652,0,0,0,26.9997348,0,0,0,0,0,0,0,0,0,0,1591.15
0,0,43.94853945,0,0,49.78044088,0,0,0,0,0,0,0,0,0,0,6.271019665,1261.15
0,0,46.87915007,0,6.240137489,46.88071244,0,0,0,0,0,0,0,0,0,0,0,1293.15
0,0,46.999265,0,0,53.000735,0,0,0,0,0,0,0,0,0,0,0,1293.15
0,0,46.64042779,0,16.07047961,37.2890926,0,0,0,0,0,0,0,0,0,0,0,1763.15
0,0,72.73061976,0,0,0,27.26938024,0,0,0,0,0,0,0,0,0,0,1635.15
0,0,0,0,0,33.33289873,0,27.42278257,39.2443187,0,0,0,0,0,0,0,0,1943.15
0,0,37.08010155,0,0,43.44081799,0,0,19.47908047,0,0,0,0,0,0,0,0,1388.15
0,0,46.5304653,0,0,53.4695347,0,0,0,0,0,0,0,0,0,0,0,1337.15
0,0,46.500465,0,0,53.499535,0,0,0,0,0,0,0,0,0,0,0,1352.15
0,0,46.31476111,0,5.070789461,48.61444942,0,0,0,0,0,0,0,0,0,0,0,1308.15
0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,95,2170.15
0,0,45,0,55,0,0,0,0,0,0,0,0,0,0,0,0,1800.15
0,0,72.49953875,0,0,0,27.50046125,0,0,0,0,0,0,0,0,0,0,1545.15
0,0,46.01988851,0,10.64950921,43.33060228,0,0,0,0,0,0,0,0,0,0,0,1233.15
0,0,61.40037951,0,0,0,23.62049336,0,14.97912713,0,0,0,0,0,0,0,0,1918.15
0,0,63.39076396,0,0,18.57998735,18.02924869,0,0,0,0,0,0,0,0,0,0,1520.15
0,0,45.90926653,0,10.99072703,43.10000644,0,0,0,0,0,0,0,0,0,0,0,1233.15
0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,1653.15
0,0,42.31994156,0,0,49.86121256,0,0,0,0,0,0,7.818845873,0,0,0,0,1158.15
0,0,45.79467901,0,11.34057211,42.86474887,0,0,0,0,0,0,0,0,0,0,0,1253.15
0,0,45.65020713,0,0,45.62957319,0,0,0,0,8.720219672,0,0,0,0,0,0,1275.15
0,0,29.66986042,0,0,37.22010195,0,0,33.11003763,0,0,0,0,0,0,0,0,1725.15
0,0,61.87905366,0,0,20.99056604,17.13038031,0,0,0,0,0,0,0,0,0,0,1487.15
0,0,52.72060796,0,0,0,20.97988377,0,26.29950827,0,0,0,0,0,0,0,0,2003.15
0,0,45.31923546,0,12.67019113,42.0105734,0,0,0,0,0,0,0,0,0,0,0,1393.15
0,0,0,0,0,50.07510683,0,41.59459814,8.330295031,0,0,0,0,0,0,0,0,1275.15
0,0,44.0001648,0,55.9998352,0,0,0,0,0,0,0,0,0,0,0,0,1754.15
0,0,61.49463314,0,0,21.6071166,16.89825026,0,0,0,0,0,0,0,0,0,0,1469.15
0,0,0,0,0,0,28.03973292,71.96026708,0,0,0,0,0,0,0,0,0,1609.15
0,0,32.41004789,0,0,40.48083614,0,0,27.10911597,0,0,0,0,0,0,0,0,1585.15
0,0,42.88869583,0,0,51.61014828,0,0,0,0,0,0,5.501155891,0,0,0,0,1323.15
0,0,45.26947254,0,9.550400459,45.180127,0,0,0,0,0,0,0,0,0,0,0,1253.15
